num_threads,read_size_sectors,num_iterations,bytes_read
1,1,271,1110016
1,2,223,1826816
1,4,237,3883008
1,8,215,7045120
1,16,198,12976128
1,32,202,26476544
1,64,170,44564480
1,128,146,76546048
1,256,139,145752064
1,512,115,241172480
2,1,401,1642496
2,2,411,3366912
2,4,491,8044544
2,8,520,17039360
2,16,582,38141952
2,32,570,74711040
2,64,640,167772160
2,128,548,287309824
2,256,473,495976448
2,512,420,880803840
4,1,1464,5996544
4,2,1562,12795904
4,4,1598,26181632
4,8,1646,53936128
4,16,1634,107085824
4,32,1614,211550208
4,64,1591,417071104
4,128,1512,792723456
4,256,1397,1464860672
4,512,1308,2743074816
8,1,3330,13639680
8,2,3299,27025408
8,4,3237,53035008
8,8,3249,106463232
8,16,3244,212598784
8,32,3242,424935424
8,64,3173,831782912
8,128,3096,1623195648
8,256,2956,3099590656
8,512,2480,5200936960
16,1,6566,26894336
16,2,6568,53805056
16,4,6493,106381312
16,8,6632,217317376
16,16,6497,425787392
16,32,6485,850001920
16,64,6315,1655439360
16,128,6095,3195535360
16,256,5837,6120538112
16,512,5210,10926161920
32,1,13162,53911552
32,2,13181,107978752
32,4,13071,214155264
32,8,12906,422903808
32,16,13036,854327296
32,32,12992,1702887424
32,64,12852,3369074688
32,128,12457,6531055616
32,256,11890,12467568640
32,512,10346,21697134592
64,1,26507,108572672
64,2,26263,215146496
64,4,26347,431669248
64,8,26156,857079808
64,16,25991,1703346176
64,32,25778,3378774016
64,64,25430,6666321920
64,128,24893,13051101184
64,256,23450,24589107200
64,512,20960,43956305920
128,1,53030,217210880
128,2,52957,433823744
128,4,52579,861454336
128,8,52584,1723072512
128,16,52126,3416129536
128,32,51621,6766067712
128,64,51145,13407354880
128,128,49174,25781338112
128,256,46278,48526000128
128,512,41428,86880813056
256,1,105207,430927872
256,2,104660,857374720
256,4,104410,1710653440
256,8,105130,3444899840
256,16,104356,6839074816
256,32,104062,13639614464
256,64,102428,26850885632
256,128,98836,51818528768
256,256,93718,98270445568
256,512,57501,120588337152
512,1,212973,872337408
512,2,211171,1729912832
512,4,209595,3434004480
512,8,210054,6883049472
512,16,208570,13668843520
512,32,205958,26995326976
512,64,192626,50495750144
512,128,156052,81816190976
512,256,115396,121001476096
512,512,56318,118107406336
