keep_cache,encoding,size_bytes,takes_per_second
True,mb,1,6736827.1217929665
True,mb,4,1936564.3125252125
True,mb,16,2420560.1157123456
True,mb,64,2296561.182680287
True,mb,256,2069881.8952814206
True,fz,1,9086601.17351697
True,fz,4,9271603.720037185
True,fz,16,9344734.544579644
True,fz,64,8711648.693314401
True,fz,256,6725685.212669903
False,mb,1,654241.6947701784
False,mb,4,595752.1643618405
False,mb,16,452019.6509449613
False,mb,64,289081.0363792647
False,mb,256,156341.98388321282
False,fz,1,706635.4976933015
False,fz,4,683834.665660734
False,fz,16,535040.1072785059
False,fz,64,450026.50878418837
False,fz,256,386295.3526041317
