keep_cache,page_size_kb,row_group_size,category,iterations_per_second,mem_bytes_per_second,disk_bytes_per_second,file_size_bytes
True,0,0,mb1,1708.2066828139327,11033101979.493254,2703901567.9526634,1582889
True,0,0,mb2,1075.9968640152786,13719321551.141111,3396329225.424162,3156449
True,0,0,mb3,298.6046388447884,11331725939.986877,2825184784.851169,9461289
True,0,0,mb4,71.24031880912446,9888785445.202198,2471224928.313268,34688572
True,0,0,mb5,12.784782231035678,6932528322.797073,1733586145.0249858,135597628
True,0,0,fz1,862.6698627958455,3734463329.2487035,905250384.5535856,1049359
True,0,0,fz2,845.7592522064723,8982315094.281654,2218332639.260582,2622889
True,0,0,fz3,236.73746202258877,8471943632.931248,2110368170.179849,8914382
True,0,0,fz4,54.94493102348822,7497210343.706973,1872535502.0000968,34080223
True,0,0,fz5,10.076472079766546,5432253506.2062025,1357739317.2094653,134743520
False,0,0,mb1,724.6937551916656,4680710001.532345,1147109773.4615803,1582889
False,0,0,mb2,368.035311212577,4692573877.824924,1161684690.0416276,3156449
False,0,0,mb3,169.5939838006176,6435909880.482803,1604577693.3989613,9461289
False,0,0,mb4,41.6118322714755,5776089834.983421,1443455039.8010015,34688572
False,0,0,mb5,5.1011991848735425,2766117340.9365435,691710509.4243858,135597628
False,0,0,fz1,802.3664424474407,3473412234.697273,841970447.6802039,1049359
False,0,0,fz2,607.0800430722593,6447442602.725311,1592303567.093755,2622889
False,0,0,fz3,186.72561052733045,6682207512.477573,1664543421.423845,8914382
False,0,0,fz4,36.41145800481429,4968326549.840396,1240910608.559206,34080223
False,0,0,fz5,9.368157843891892,5050399375.031454,1262298563.801604,134743520
