use_cache,format,row_group_size,take_size,column,latency,io_size,iops
False,parquet,100000,1,double,12.497438511,0,0
False,parquet,100000,1,vector,16.665723995,0,0
False,parquet,100000,64,double,34.641735393000005,0,0
False,parquet,100000,64,vector,190.887559355,0,0
False,parquet,100000,256,double,34.69055089,0,0
False,parquet,100000,256,vector,619.20858201,0,0
False,parquet,100000,512,double,34.774545222,0,0
False,parquet,100000,512,vector,1074.40667297,0,0
False,parquet,100000,1024,double,34.801384772,0,0
False,parquet,100000,1024,vector,1726.17797399,0,0
False,lance,100000,1,double,3.713823386,0,0
False,lance,100000,1,vector,5.22636596,0,0
False,lance,100000,64,double,4.278707166,0,0
False,lance,100000,64,vector,11.209634244,0,0
False,lance,100000,256,double,5.457221537000001,0,0
False,lance,100000,256,vector,28.042379139999998,0,0
False,lance,100000,512,double,7.838480659,0,0
False,lance,100000,512,vector,54.50881188,0,0
False,lance,100000,1024,double,11.441742996999999,0,0
False,lance,100000,1024,vector,91.87803963,0,0
True,parquet,100000,1,double,11.223571868,0,0
True,parquet,100000,1,vector,16.320108627,0,0
True,parquet,100000,64,double,33.84902616,0,0
True,parquet,100000,64,vector,192.2309255,0,0
True,parquet,100000,256,double,34.150563696,0,0
True,parquet,100000,256,vector,613.90088563,0,0
True,parquet,100000,512,double,33.85790496,0,0
True,parquet,100000,512,vector,1066.2203486,0,0
True,parquet,100000,1024,double,34.198021165,0,0
True,parquet,100000,1024,vector,1726.45647547,0,0
True,lance,100000,1,double,1.044515368,0,0
True,lance,100000,1,vector,1.0637242089999999,0,0
True,lance,100000,64,double,1.923101567,0,0
True,lance,100000,64,vector,2.471957492,0,0
True,lance,100000,256,double,4.266132937,0,0
True,lance,100000,256,vector,6.6228642,0,0
True,lance,100000,512,double,7.186511905000001,0,0
True,lance,100000,512,vector,12.235355790000002,0,0
True,lance,100000,1024,double,10.250662990999999,0,0
True,lance,100000,1024,vector,22.463702509999997,0,0
